city,population,vc,vcPC,vcRank,murder,murderPC,murderRank,rape,rapePC,rapeRank,rapetwo,rapetwoPC,rapetwoRank,robbery,robberPC,robberyRank,agassault,agassaultPC,agassaultRank,pc,pcPC,pcRank,burglary,burglaryPC,burglaryRank,larceny,larcenyPC,larcenyRank,mvtheft,mvtheftPC,mvtheftRank,arson,arsonPC,arsonRank
Ritzville,1671,2,120,118,0,0,113,1,60,31,,0,98,0,0,158,1,60,119,71,4249,51,17,1017,24,51,3052,49,3,180,100,0,0,145
Roy,808,5,619,5,0,0,113,0,0,154,,0,98,1,124,20,4,495,3,12,1485,150,3,371,129,7,866,160,2,248,76,0,0,145
Royal City,2234,2,90,133,1,45,1,0,0,154,,0,98,0,0,158,1,45,134,39,1746,140,13,582,80,15,671,171,11,492,28,2,90,5
Ruston,802,1,125,112,0,0,113,0,0,154,,0,98,1,125,19,0,0,171,22,2743,89,6,748,62,16,1995,90,0,0,179,1,125,2
Sammamish,52365,12,23,167,0,0,113,,0,154,5,10,10,3,6,127,4,8,155,392,749,176,79,151,168,304,581,174,9,17,170,4,8,94
SeaTac,28418,169,595,9,5,18,4,,0,154,23,81,1,63,222,6,78,274,23,1406,4948,37,249,876,45,801,2819,58,356,1253,2,7,25,40
Seattle,683700,4093,599,6,23,3,32,144,21,88,,0,98,1532,224,5,2394,350,11,37754,5522,21,7677,1123,21,26199,3832,27,3878,567,21,92,13,72
Sedro Woolley,10808,13,120,117,0,0,113,0,0,154,,0,98,2,19,107,11,102,85,413,3821,61,87,805,55,298,2757,60,28,259,75,0,0,145
Selah,7505,1,13,171,0,0,113,0,0,154,,0,98,0,0,158,1,13,150,91,1213,162,14,187,164,70,933,151,7,93,141,0,0,145
Sequim,6767,9,133,103,0,0,113,2,30,75,,0,98,0,0,158,7,103,84,360,5320,28,50,739,63,297,4389,14,13,192,90,0,0,145
Shelton,9758,45,461,19,0,0,113,5,51,44,,0,98,10,102,25,30,307,17,693,7102,8,90,922,38,573,5872,5,30,307,57,1,10,89
Shoreline,55690,74,133,104,0,0,113,,0,154,20,36,9,24,43,71,30,54,123,1347,2419,101,370,664,72,810,1454,119,167,300,62,9,16,58
Snohomish,9640,21,218,67,0,0,113,4,41,57,,0,98,7,73,45,10,104,83,419,4346,50,47,488,103,322,3340,41,50,519,24,2,21,50
Snoqualmie,13148,3,23,168,0,0,113,0,0,154,,0,98,1,8,125,2,15,149,166,1263,159,19,145,169,135,1027,146,12,91,144,1,8,95
Soap Lake,1594,5,314,38,0,0,113,1,63,29,,0,98,0,0,158,4,251,30,28,1757,138,13,816,52,6,376,181,9,565,22,0,0,145
South Bend,1585,4,252,53,0,0,113,1,63,28,,0,98,1,63,49,2,126,66,5,315,183,1,63,177,3,189,183,1,63,155,0,0,145
Spokane,212698,1111,522,14,12,6,18,,0,154,119,56,3,333,157,10,647,304,18,15971,7509,6,2817,1324,10,11408,5363,9,1746,821,10,47,22,46
Spokane Valley,92157,235,255,51,0,0,113,,0,154,38,41,6,73,79,42,124,135,60,4779,5186,31,849,921,39,3501,3799,29,429,466,30,29,31,28
Stanwood,6864,12,175,80,0,0,113,1,15,107,,0,98,3,44,68,8,117,70,165,2404,102,28,408,124,132,1923,94,5,73,152,0,0,145
Steilacoom,6228,13,209,74,0,0,113,2,32,74,,0,98,0,0,158,11,177,46,58,931,172,19,305,143,38,610,173,1,16,171,0,0,145
Sultan,4797,9,188,78,0,0,113,1,21,89,,0,98,3,63,50,5,104,81,107,2231,114,40,834,50,50,1042,145,17,354,51,1,21,49
Sumas,1357,1,74,147,0,0,113,1,74,19,,0,98,0,0,158,0,0,171,30,2211,117,0,0,182,29,2137,85,1,74,151,0,0,145
Sumner,9737,19,195,76,0,0,113,2,21,90,,0,98,9,92,34,8,82,101,611,6275,12,145,1489,7,386,3964,23,80,822,9,2,21,53
Sunnyside,16198,25,154,88,2,12,7,3,19,92,,0,98,9,56,58,11,68,113,404,2494,98,59,364,132,301,1858,97,44,272,72,4,25,39
Tacoma,206884,1694,819,2,12,6,17,147,71,22,,0,98,485,234,3,1050,508,2,13065,6315,11,2552,1234,13,8492,4105,19,2021,977,6,70,34,25
Tenino,1737,1,58,153,0,0,113,1,58,35,,0,98,0,0,158,0,0,171,54,3109,79,12,691,69,41,2360,79,1,58,157,2,115,3
Tieton,1260,1,79,140,0,0,113,0,0,154,,0,98,1,79,41,0,0,171,16,1270,158,4,317,140,9,714,167,3,238,79,0,0,145
Toledo,720,0,0,178,0,0,113,0,0,154,,0,98,0,0,158,0,0,171,10,1389,154,3,417,122,7,972,148,0,0,179,0,0,145
Tonasket,1014,5,493,17,0,0,113,1,99,10,,0,98,0,0,158,4,394,7,25,2465,99,10,986,29,12,1183,135,3,296,66,0,0,145
Toppenish,9001,38,422,21,3,33,2,4,44,52,,0,98,21,233,4,10,111,75,427,4744,42,91,1011,26,265,2944,52,71,789,14,1,11,83
Tukwila,20116,151,751,3,1,5,23,22,109,5,,0,98,62,308,1,66,328,14,3336,16584,1,209,1039,23,2669,13268,1,458,2277,1,4,20,54
Tumwater,19193,70,365,35,0,0,113,9,47,48,,0,98,11,57,55,50,261,29,789,4111,56,126,656,74,605,3152,46,58,302,59,2,10,87
Twisp,941,1,106,123,0,0,113,1,106,8,,0,98,0,0,158,0,0,171,37,3932,59,8,850,49,27,2869,56,2,213,85,0,0,145
